title,author,link,home,rss,date,timestamp
ntfsmac 上手：不关 SIP 让 Mac 读写 NTFS 和 ext 硬盘,张洪Heo,https://blog.zhheo.com/p/ucrz6hhg.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-08-24,1787549502.0
个人小项目vibecoding方案推荐：opencode spark 1.2 和 zcode,张洪Heo,https://blog.zhheo.com/p/1bwuf82b.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-08-20,1787202332.0
分享一下博客的全新聚合搜索,张洪Heo,https://blog.zhheo.com/p/mgii3qy1.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-08-19,1787118939.0
给DeepSeek-V4-Flash借一双眼睛：ZCode视觉子Agent方案,张洪Heo,https://blog.zhheo.com/p/3gr7k8xj.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-08-14,1786700793.0
Mole Mac 上手：界面精美，优秀好用的Mac清理工具,张洪Heo,https://blog.zhheo.com/p/lgodvfdh.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-08-14,1786695739.0
Agentation 油猴脚本：让AI指哪改哪，配合 Claude Code 的开发神器,张洪Heo,https://blog.zhheo.com/p/wh8h2uop.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-08-12,1786501904.0
洪绘压图网页版上线，这下可以随时随地在线压缩图片了,张洪Heo,https://blog.zhheo.com/p/tbp0pls8.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-08-10,1786344039.0
分享一下我最近制作的一些AI音乐，以及解决唱歌错字和音质的一些小技巧,张洪Heo,https://blog.zhheo.com/p/4c5g2me1.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-08-10,1786336007.0
洪绘敲木鱼支持“竹知了”模式了，可以自定义音效的电子竹知了App,张洪Heo,https://blog.zhheo.com/p/0zlnja8m.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-08-07,1786093120.0
洪绘烧纸：一个网页在线电子烧纸，电子祭祀工具,张洪Heo,https://blog.zhheo.com/p/kiazx47a.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-08-06,1786005885.0
WebMCP适配教程：为浏览器AI预备好，让网页向 AI 提供工具，本博客已支持,张洪Heo,https://blog.zhheo.com/p/z1fmm8ee.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-08-06,1785988560.0
报错回顾：给OpenClaw添加错误行为记忆机制，让自己写的skill不断成长,张洪Heo,https://blog.zhheo.com/p/0x4n7juy.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-07-29,1785291657.0
腾讯miora上手：设计师又又又失业的一集？,张洪Heo,https://blog.zhheo.com/p/lw65vj43.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-07-23,1784777476.0
Mac 合盖不休眠：用 pmset 彻底禁止系统睡眠,张洪Heo,https://blog.zhheo.com/p/xvupxvv6.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-07-23,1784774881.0
如何用 OpenClaw 配置早报晚报，科技新闻信源、微博热搜获取,张洪Heo,https://blog.zhheo.com/p/u61vslr3.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-07-20,1784524538.0
给 SearXNG 接入豆包搜索，解决 OpenClaw 信源难题,张洪Heo,https://blog.zhheo.com/p/1ffvrvyd.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-07-17,1784264897.0
OpenClaw记忆系统升级：从memory-core到memory-lancedb-pro的迁移与配置,张洪Heo,https://blog.zhheo.com/p/0kl9erod.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-07-16,1784175473.0
screenpipe：开源本地的 AI 记忆引擎，让电脑更懂你,张洪Heo,https://blog.zhheo.com/p/94w0byur.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-07-15,1784131200.0
混元hy3模型上手：腾讯送了云函数个人版6个月，怎么才能用上,张洪Heo,https://blog.zhheo.com/p/2orxjo9r.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-07-08,1783480134.0
给OpenClaw加上rm删除保护：防止AI误删你的整个电脑,张洪Heo,https://blog.zhheo.com/p/owiixgnk.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-07-07,1783422360.0
豆言豆语Skill发布：让AI学会豆包的毒舌说话风格,张洪Heo,https://blog.zhheo.com/p/ojxzvqar.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-07-02,1782990288.0
美团longcat上手：缓存免费，主打便宜，就是速度太慢，思考时间looooong,张洪Heo,https://blog.zhheo.com/p/e1l2qom9.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-07-02,1782958207.0
OpenClaw Workboard 功能上手：让 Agent 自己干活，你只管盯进度,张洪Heo,https://blog.zhheo.com/p/s3li91qz.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-07-01,1782883200.0
小米平板8Pro上手：便宜且流畅的好平板，安卓平板的高效令人印象深刻,张洪Heo,https://blog.zhheo.com/p/fadgmjtw.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-06-29,1782701148.0
洪绘动图发布：将视频转换为帧图或者GIF并且限制只有5MB，APNG、WEBP动图生成工具,张洪Heo,https://blog.zhheo.com/p/9yuhxjpl.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-06-25,1782366220.0
AI支付宝上手：内容全靠编，出问题甩锅给商家，付款快退款难,张洪Heo,https://blog.zhheo.com/p/sir4kfs9.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-06-18,1781749658.0
重要照片一定要备份，手机养成照片备份的好习惯,张洪Heo,https://blog.zhheo.com/p/cyw9sqnh.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-06-17,1781665917.0
HeoSticker3D发布：3D形态的Heo表情，个人免费使用,张洪Heo,https://blog.zhheo.com/p/mjpbdtsh.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-06-11,1781155403.0
这才是我心目中AI博客的样子,张洪Heo,https://blog.zhheo.com/p/vp4ate1j.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-06-09,1781002280.0
洪绘历史记录大更新：支持根据浏览器历史记录的AI对话,张洪Heo,https://blog.zhheo.com/p/i8c7l4eo.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-06-09,1780971736.0
如何让OpenClaw调用你的百度网盘？百度网盘官方Skill帮你上传、下载与分享,张洪Heo,https://blog.zhheo.com/p/rozgxwdq.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-06-04,1780544175.0
如何判断一个文章是不是AI写的？文字、视频、图片AI检测方法,张洪Heo,https://blog.zhheo.com/p/56yusy1w.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-05-29,1780039423.0
分享一下我现在都在使用哪些AI工具，以及我的的AI生产力状况,张洪Heo,https://blog.zhheo.com/p/ug37qbz9.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-05-26,1779772717.0
为OpenClaw搭建一个免费的搜索引擎，如何让OpenClaw搜索网页内容,张洪Heo,https://blog.zhheo.com/p/9p755adr.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-05-22,1779419498.0
这一次，我们听点有意思的,张洪Heo,https://blog.zhheo.com/p/7a59rx04.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-05-21,1779337636.0
