title,author,link,home,rss,date,timestamp
北京实习300天,纸鹿摸鱼处,https://blog.zhilu.site/2026/beijing-intern,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2026-03-18,1773851464.0
实习后买了一堆东西,纸鹿摸鱼处,https://blog.zhilu.site/2026/buy-right,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2026-02-23,1771815732.0
谈谈不受欢迎的博客技术特征,纸鹿摸鱼处,https://blog.zhilu.site/2025/unpopular-blog-tech,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2025-10-07,1759824406.0
我们的设备被拿来做了什么：软件的背景行为,纸鹿摸鱼处,https://blog.zhilu.site/2025/background-behavior,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2025-08-17,1755450962.0
生成式AI正在生成,纸鹿摸鱼处,https://blog.zhilu.site/2025/ai-abuse,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2025-06-10,1749563563.0
前端字体二三事,纸鹿摸鱼处,https://blog.zhilu.site/2025/font-tips,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2025-04-16,1744764590.0
深色模式开发的最佳实践,纸鹿摸鱼处,https://blog.zhilu.site/2025/dark-mode-guide,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2025-04-14,1744596436.0
寻不回手工油糕,纸鹿摸鱼处,https://blog.zhilu.site/2025/oil-cakes,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2025-02-16,1739680224.0
一些数码外设的评价和“捡垃圾”心得,纸鹿摸鱼处,https://blog.zhilu.site/2024/digital-products-bought,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2024-12-19,1734607466.0
朋友的 Vivado 和 Modelsim 装上了吗,纸鹿摸鱼处,https://blog.zhilu.site/2024/vivado-modelsim-rescue,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2024-12-03,1733184041.0
迟到三月的年末博客杂谈：动力、文章和内容,纸鹿摸鱼处,https://blog.zhilu.site/2024/blog-record,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2024-11-19,1731974887.0
VitePress 不完全优化指南,纸鹿摸鱼处,https://blog.zhilu.site/2024/vitepress-enhancement,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2024-11-03,1730627690.0
给电脑新手的笔记本开荒指南导读,纸鹿摸鱼处,https://blog.zhilu.site/2024/new-laptop-guide,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2024-10-28,1730074988.0
再谈考试时钟：技术之外的思考,纸鹿摸鱼处,https://blog.zhilu.site/2024/exam-clock-thinking,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2024-10-18,1729241435.0
今日校园见闻：我已经出离高兴了,纸鹿摸鱼处,https://blog.zhilu.site/2024/observe-at-school,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2024-10-09,1728484325.0
配置并差点运行不了 Java Applet,纸鹿摸鱼处,https://blog.zhilu.site/2024/run-java-applets,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2024-09-26,1727313162.0
Windows 上的开源软件入门,纸鹿摸鱼处,https://blog.zhilu.site/2024/sfd-xupt,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2024-09-17,1726566672.0
博客进化：从 Hexo 到 Nuxt Content,纸鹿摸鱼处,https://blog.zhilu.site/2024/blog-using-nuxt,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2024-08-27,1724754655.0
祖母的90年代南昌差旅之险,纸鹿摸鱼处,https://blog.zhilu.site/2024/grandma-high-point,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2024-08-24,1724539614.0
Linux 下通过 Samba 共享文件夹,纸鹿摸鱼处,https://blog.zhilu.site/2024/linux-samba,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2024-08-04,1722777063.0
从“端口无法访问”到本地环境问题——朋友的博客踩坑记录,纸鹿摸鱼处,https://blog.zhilu.site/2024/all-pits-stepped,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2024-07-24,1721827257.0
Windows 空间管理/清理指南,纸鹿摸鱼处,https://blog.zhilu.site/2024/windows-storage,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2024-07-12,1720801776.0
遭遇APP乱象：老人的「钱袋子」开线了,纸鹿摸鱼处,https://blog.zhilu.site/2024/auto-payment,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2024-07-07,1720353176.0
封面被 Linux QQ 官方用了，但是有一些小缺陷,纸鹿摸鱼处,https://blog.zhilu.site/2024/cover-copied,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2024-06-18,1718688185.0
Windows 终端体验优化指南,纸鹿摸鱼处,https://blog.zhilu.site/2024/windows-terminal,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2024-06-16,1718549337.0
有问题，就要讲出来。,纸鹿摸鱼处,https://blog.zhilu.site/2024/problem-solved,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2024-06-04,1717459356.0
从 CSS 排序折腾到 Stylelint 和 pnpm,纸鹿摸鱼处,https://blog.zhilu.site/2024/css-sort,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2024-05-21,1716302684.0
使用 DOSBox 的多种方式,纸鹿摸鱼处,https://blog.zhilu.site/2024/dosbox-setup,https://blog.zhilu.site/,https://blog.zhilu.site/atom.xml,2024-05-11,1715414740.0
